Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2023-07-05,147.00,148.00,147.00,147.00,147.15151515152,-1.34,4,33.00000,4856.00
2023-07-04,149.00,149.00,149.00,149.00,149.00000000000,-0.67,1,20.00000,2980.00
2023-07-03,146.00,150.00,146.00,150.00,146.54545454545,-0.66,4,22.00000,3224.00
2023-06-30,148.00,151.00,146.00,151.00,148.57142857143,-0.66,3,7.00000,1040.00
2023-06-28,152.00,152.00,152.00,152.00,152.00000000000,-0.65,2,70.00000,10640.00
2023-06-27,152.00,153.00,152.00,153.00,152.64497041420,0.66,7,169.00000,25797.00
2023-06-26,147.00,152.00,147.00,152.00,150.26749611198,3.40,20,1286.00000,193244.00
2023-06-23,147.00,147.00,147.00,147.00,147.00000000000,2.08,4,82.00000,12054.00
2023-06-21,146.00,146.00,144.00,144.00,145.13978494624,-1.37,4,93.00000,13498.00
2023-06-20,147.00,149.00,146.00,146.00,147.07894736842,-0.68,16,570.00000,83835.00
2023-06-19,143.00,147.00,143.00,147.00,144.52283105023,2.80,29,876.00000,126602.00
2023-06-16,140.00,143.00,140.00,143.00,142.32130584192,0.70,8,1164.00000,165662.00
2023-06-15,141.00,142.00,141.00,142.00,141.67441860465,0.71,7,430.00000,60920.00
2023-06-14,142.00,142.00,141.00,141.00,141.50842696629,-0.70,9,356.00000,50377.00
2023-06-13,142.00,142.00,142.00,142.00,142.00000000000,0.00,1,8.00000,1136.00
2023-06-12,139.00,142.00,139.00,142.00,140.16998468606,2.16,12,653.00000,91531.00
2023-06-09,138.00,139.00,138.00,139.00,138.92173913043,0.72,8,115.00000,15976.00
2023-06-07,136.00,140.00,136.00,138.00,137.50980392157,2.22,30,1275.00000,175325.00
2023-06-06,135.00,135.00,135.00,135.00,135.00000000000,0.00,4,15.00000,2025.00
2023-06-05,134.00,135.00,134.00,135.00,134.42553191489,2.27,4,47.00000,6318.00
2023-06-02,134.00,134.00,132.00,132.00,133.33333333333,-2.22,3,30.00000,4000.00
2023-05-31,135.00,135.00,135.00,135.00,135.00000000000,0.00,1,2.00000,270.00
2023-05-26,135.00,136.00,135.00,135.00,135.00798403194,0.75,6,501.00000,67639.00
2023-05-25,134.00,134.00,130.00,134.00,132.55421686747,0.00,8,249.00000,33006.00
2023-05-24,133.00,134.00,133.00,134.00,133.90079365079,0.75,9,504.00000,67486.00
2023-05-23,133.00,133.00,133.00,133.00,133.00000000000,-0.75,1,5.00000,665.00
2023-05-22,132.00,134.00,132.00,134.00,133.12727272727,3.88,7,55.00000,7322.00
2023-05-18,131.00,131.00,129.00,129.00,129.13793103448,-2.27,4,116.00000,14980.00
2023-05-17,130.00,132.00,130.00,132.00,130.33333333333,3.13,2,12.00000,1564.00
2023-05-16,129.00,129.00,128.00,128.00,128.49333333333,0.00,5,75.00000,9637.00
2023-05-15,131.00,131.00,128.00,128.00,128.61904761905,-1.54,3,63.00000,8103.00
2023-05-12,130.00,130.00,130.00,130.00,130.00000000000,0.78,4,47.00000,6110.00
2023-05-11,129.00,130.00,128.00,129.00,128.82587064677,0.78,9,201.00000,25894.00
2023-05-10,128.00,128.00,128.00,128.00,128.00000000000,0.00,1,50.00000,6400.00
2023-05-09,128.00,128.00,128.00,128.00,128.00000000000,0.00,1,24.00000,3072.00
2023-05-08,128.00,128.00,128.00,128.00,128.00000000000,-0.78,4,152.00000,19456.00
2023-05-04,129.00,129.00,129.00,129.00,129.00000000000,0.00,1,10.00000,1290.00
2023-05-03,129.00,129.00,129.00,129.00,129.00000000000,1.57,2,32.00000,4128.00
2023-05-02,129.00,129.00,127.00,127.00,128.92361111111,-1.55,7,288.00000,37130.00
2023-04-27,135.00,135.00,125.00,129.00,128.83598531212,-0.77,29,817.00000,105259.00
2023-04-26,130.00,130.00,130.00,130.00,130.00000000000,-0.76,2,50.00000,6500.00
2023-04-25,132.00,134.00,131.00,131.00,131.86842105263,-2.24,13,228.00000,30066.00
2023-04-24,134.00,134.00,132.00,134.00,133.27272727273,0.00,3,55.00000,7330.00
2023-04-21,134.00,134.00,134.00,134.00,134.00000000000,-0.74,9,186.00000,24924.00
2023-04-20,132.00,135.00,132.00,135.00,133.55401662050,0.75,9,361.00000,48213.00
2023-04-19,134.00,134.00,134.00,134.00,134.00000000000,0.75,1,32.00000,4288.00
2023-04-18,130.00,133.00,129.00,133.00,130.82758620690,0.00,7,58.00000,7588.00
2023-04-14,133.00,133.00,133.00,133.00,133.00000000000,0.00,4,47.00000,6251.00
2023-04-13,133.00,133.00,133.00,133.00,133.00000000000,1.53,1,2.00000,266.00
2023-04-12,127.00,131.00,127.00,131.00,130.73684210526,3.97,4,76.00000,9936.00
2023-04-11,126.00,126.00,126.00,126.00,126.00000000000,0.80,7,125.00000,15750.00
2023-04-06,126.00,126.00,125.00,125.00,125.51757188498,-0.79,7,313.00000,39287.00
2023-04-05,129.00,129.00,126.00,126.00,127.03013182674,-0.79,14,531.00000,67453.00
2023-03-31,127.00,127.00,127.00,127.00,127.00000000000,-0.78,1,11.00000,1397.00
2023-03-29,128.00,128.00,128.00,128.00,128.00000000000,1.59,1,34.00000,4352.00
2023-03-28,127.00,127.00,126.00,126.00,126.01827956989,-1.56,6,930.00000,117197.00
2023-03-24,129.00,129.00,128.00,128.00,128.34375000000,-0.78,3,64.00000,8214.00
2023-03-22,129.00,129.00,129.00,129.00,129.00000000000,-1.53,2,90.00000,11610.00
2023-03-21,129.00,131.00,129.00,131.00,130.06250000000,0.00,3,32.00000,4162.00
2023-03-17,131.00,131.00,131.00,131.00,131.00000000000,3.97,1,3.00000,393.00
